Textbox53,Textbox55,Textbox3,Textbox57,Textbox59,Textbox63,Textbox65,Textbox67,Textbox69,Textbox77,Textbox73,Textbox75,Textbox79,Textbox23,Textbox100,hoteldate,Occ,xoption,Arr,Comp,House,Indiv,Group,Occ_perct,RoomRev,Avg,Dep,OOO,Ad_Ch,Textbox86,Textbox6,Textbox87,Textbox88,Textbox89,Textbox90,Textbox91,Textbox92,Textbox93,Textbox94,Textbox95,Textbox96,Textbox97,Textbox9,Textbox127,Textbox7,Textbox128,Textbox129,Textbox130,Textbox131,Textbox132,Textbox133,Textbox134,Textbox135,Textbox136,Textbox137,Textbox138,Textbox113,Textbox99,xoption1,Textbox139,Textbox140,Textbox141,Textbox142,Textbox143,Textbox144,Textbox145,Textbox146,Textbox147,Textbox148,Textbox149
Data,Ocup,Opção,Cheg,Oferta/Uso Interno,Deduz. Individ.,Deduz. Grupos,% Ocup.,Receita Quartos,Preço Médio,Saídas,Quartos FdS,Adul. / Cri.,janeiro,Histórico,01-jan-2026 qui,125,4,29,0,0,111,14,"95,56","17 526,25","135,86",31,0,244,516,8,141,0,0,474,42,"77,63","55 311,46","105,56",186,0,994,Total jan,2202,8,725,0,0,2137,65,"52,81","172 500,23","78,05",784,0,4227,Total,8013,3882,2696,0,0,6460,1553,"12,07","869 943,02","73,14",2822,0,15613
Data,Ocup,Opção,Cheg,Oferta/Uso Interno,Deduz. Individ.,Deduz. Grupos,% Ocup.,Receita Quartos,Preço Médio,Saídas,Quartos FdS,Adul. / Cri.,janeiro,Histórico,02-jan-2026 sex,114,2,36,0,0,100,14,"85,93","13 052,25","112,52",46,0,218,516,8,141,0,0,474,42,"77,63","55 311,46","105,56",186,0,994,Total jan,2202,8,725,0,0,2137,65,"52,81","172 500,23","78,05",784,0,4227,Total,8013,3882,2696,0,0,6460,1553,"12,07","869 943,02","73,14",2822,0,15613
Data,Ocup,Opção,Cheg,Oferta/Uso Interno,Deduz. Individ.,Deduz. Grupos,% Ocup.,Receita Quartos,Preço Médio,Saídas,Quartos FdS,Adul. / Cri.,janeiro,Histórico,03-jan-2026 sáb,111,2,31,0,0,97,14,"83,70","11 061,34","97,89",34,0,209,516,8,141,0,0,474,42,"77,63","55 311,46","105,56",186,0,994,Total jan,2202,8,725,0,0,2137,65,"52,81","172 500,23","78,05",784,0,4227,Total,8013,3882,2696,0,0,6460,1553,"12,07","869 943,02","73,14",2822,0,15613
Data,Ocup,Opção,Cheg,Oferta/Uso Interno,Deduz. Individ.,Deduz. Grupos,% Ocup.,Receita Quartos,Preço Médio,Saídas,Quartos FdS,Adul. / Cri.,janeiro,Histórico,04-jan-2026 dom,86,0,19,0,0,86,0,"63,70","7 348,92","85,45",43,0,168,516,8,141,0,0,474,42,"77,63","55 311,46","105,56",186,0,994,Total jan,2202,8,725,0,0,2137,65,"52,81","172 500,23","78,05",784,0,4227,Total,8013,3882,2696,0,0,6460,1553,"12,07","869 943,02","73,14",2822,0,15613
Data,Ocup,Opção,Cheg,Oferta/Uso Interno,Deduz. Individ.,Deduz. Grupos,% Ocup.,Receita Quartos,Preço Médio,Saídas,Quartos FdS,Adul. / Cri.,janeiro,Histórico,05-jan-2026 seg,80,0,26,0,0,80,0,"59,26","6 322,70","79,03",32,0,155,516,8,141,0,0,474,42,"77,63","55 311,46","105,56",186,0,994,Total jan,2202,8,725,0,0,2137,65,"52,81","172 500,23","78,05",784,0,4227,Total,8013,3882,2696,0,0,6460,1553,"12,07","869 943,02","73,14",2822,0,15613
Data,Ocup,Opção,Cheg,Oferta/Uso Interno,Deduz. Individ.,Deduz. Grupos,% Ocup.,Receita Quartos,Preço Médio,Saídas,Quartos FdS,Adul. / Cri.,janeiro,Previsão,06-jan-2026 ter,77,0,20,0,0,77,0,"57,04","5 526,66","71,77",24,0,150,1686,0,584,0,0,1663,23,"48,03","117 188,77","69,51",598,0,3233,Total jan,2202,8,725,0,0,2137,65,"52,81","172 500,23","78,05",784,0,4227,Total,8013,3882,2696,0,0,6460,1553,"12,07","869 943,02","73,14",2822,0,15613
Data,Ocup,Opção,Cheg,Oferta/Uso Interno,Deduz. Individ.,Deduz. Grupos,% Ocup.,Receita Quartos,Preço Médio,Saídas,Quartos FdS,Adul. / Cri.,janeiro,Previsão,07-jan-2026 qua,64,0,18,0,0,64,0,"47,41","4 266,22","66,66",31,0,120,1686,0,584,0,0,1663,23,"48,03","117 188,77","69,51",598,0,3233,Total jan,2202,8,725,0,0,2137,65,"52,81","172 500,23","78,05",784,0,4227,Total,8013,3882,2696,0,0,6460,1553,"12,07","869 943,02","73,14",2822,0,15613
Data,Ocup,Opção,Cheg,Oferta/Uso Interno,Deduz. Individ.,Deduz. Grupos,% Ocup.,Receita Quartos,Preço Médio,Saídas,Quartos FdS,Adul. / Cri.,janeiro,Previsão,08-jan-2026 qui,55,0,19,0,0,55,0,"40,74","3 746,53","68,12",28,0,107,1686,0,584,0,0,1663,23,"48,03","117 188,77","69,51",598,0,3233,Total jan,2202,8,725,0,0,2137,65,"52,81","172 500,23","78,05",784,0,4227,Total,8013,3882,2696,0,0,6460,1553,"12,07","869 943,02","73,14",2822,0,15613
Data,Ocup,Opção,Cheg,Oferta/Uso Interno,Deduz. Individ.,Deduz. Grupos,% Ocup.,Receita Quartos,Preço Médio,Saídas,Quartos FdS,Adul. / Cri.,janeiro,Previsão,09-jan-2026 sex,84,0,38,0,0,84,0,"62,22","5 773,45","68,73",9,0,167,1686,0,584,0,0,1663,23,"48,03","117 188,77","69,51",598,0,3233,Total jan,2202,8,725,0,0,2137,65,"52,81","172 500,23","78,05",784,0,4227,Total,8013,3882,2696,0,0,6460,1553,"12,07","869 943,02","73,14",2822,0,15613
Data,Ocup,Opção,Cheg,Oferta/Uso Interno,Deduz. Individ.,Deduz. Grupos,% Ocup.,Receita Quartos,Preço Médio,Saídas,Quartos FdS,Adul. / Cri.,janeiro,Previsão,10-jan-2026 sáb,79,0,18,0,0,74,5,"58,52","5 669,37","71,76",23,0,152,1686,0,584,0,0,1663,23,"48,03","117 188,77","69,51",598,0,3233,Total jan,2202,8,725,0,0,2137,65,"52,81","172 500,23","78,05",784,0,4227,Total,8013,3882,2696,0,0,6460,1553,"12,07","869 943,02","73,14",2822,0,15613
